Area_Name,Year,Group_Name,Sub_Group_Name,K_A_Cases_Reported,K_A_Female_10_18_Years,K_A_Female_18_30_Years,K_A_Female_30_50_Years,K_A_Female_Above_50_Years,K_A_Female_Total,K_A_Female_Upto_10_Years,K_A_Grand_Total,K_A_Male_10_18_Years,K_A_Male_18_30_Years,K_A_Male_30_50_Years,K_A_Male_Above_50_Years,K_A_Male_Total,K_A_Male_Upto_10_Years
Himachal Pradesh,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2002,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,2,0,2,0,0,2,0
Karnataka,2002,Kidnap - For Adoption,01. For Adoption,2,1,0,0,0,1,0,2,0,1,0,0,1,0
Madhya Pradesh,2002,Kidnap - For Adoption,01. For Adoption,6,0,1,0,0,2,1,6,0,3,0,0,4,1
Maharashtra,2002,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Meghalaya,2002,Kidnap - For Adoption,01. For Adoption,4,0,0,0,0,0,0,4,0,3,1,0,4,0
Nagaland,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2002,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,1,0,0,1,0
Punjab,2002,Kidnap - For Adoption,01. For Adoption,3,3,0,0,0,3,0,3,0,0,0,0,0,0
Rajasthan,2002,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,1,1,1,0,0,0,0,0,0
Tamil Nadu,2002,Kidnap - For Adoption,01. For Adoption,36,22,14,0,0,36,0,36,0,0,0,0,0,0
Tripura,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2002,Kidnap - For Adoption,01. For Adoption,8,1,0,0,0,1,0,8,0,6,1,0,7,0
West Bengal,2002,Kidnap - For Adoption,01. For Adoption,11,0,11,0,0,11,0,11,0,0,0,0,0,0
Andhra Pradesh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,Kidnap - For Adoption,01. For Adoption,4,0,4,0,0,4,0,4,0,0,0,0,0,0
Bihar,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Kidnap - For Adoption,01. For Adoption,8,2,2,0,0,5,1,8,0,0,0,0,3,3
Gujarat,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2003,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,1,0,0,1,0
Karnataka,2003,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,2,0,1,0,0,2,1
Madhya Pradesh,2003,Kidnap - For Adoption,01. For Adoption,2,1,0,0,0,1,0,2,0,0,0,0,1,1
Maharashtra,2003,Kidnap - For Adoption,01. For Adoption,7,1,5,0,0,7,1,7,0,0,0,0,0,0
Meghalaya,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2003,Kidnap - For Adoption,01. For Adoption,7,0,0,0,0,3,3,7,0,3,0,0,4,1
Tamil Nadu,2003,Kidnap - For Adoption,01. For Adoption,21,6,4,0,0,10,0,21,0,5,6,0,11,0
Uttar Pradesh,2003,Kidnap - For Adoption,01. For Adoption,8,0,3,0,0,3,0,8,0,4,1,0,5,0
West Bengal,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,1,0,0,1,0
Arunachal Pradesh,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2004,Kidnap - For Adoption,01. For Adoption,8,0,3,0,0,3,0,8,0,5,0,0,5,0
Chhattisgarh,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,1,1,1,0,0,0,0,0,0
Himachal Pradesh,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2004,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,1,0,0,1,0
Karnataka,2004,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Kerala,2004,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,3,3,3,0,0,0,0,0,0
Madhya Pradesh,2004,Kidnap - For Adoption,01. For Adoption,2,1,0,0,0,1,0,2,0,0,0,0,1,1
Maharashtra,2004,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,1,1,3,0,0,0,0,2,2
Manipur,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Adoption,01. For Adoption,5,0,0,0,0,0,0,5,0,5,0,0,5,0
Nagaland,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Tamil Nadu,2004,Kidnap - For Adoption,01. For Adoption,5,2,3,0,0,5,0,5,0,0,0,0,0,0
Uttar Pradesh,2004,Kidnap - For Adoption,01. For Adoption,6,0,0,0,0,0,0,6,0,4,1,0,6,1
West Bengal,2004,Kidnap - For Adoption,01. For Adoption,18,0,9,0,0,10,1,18,0,6,2,0,8,0
Andhra Pradesh,2005,Kidnap - For Adoption,01. For Adoption,3,0,2,0,0,3,1,3,0,0,0,0,0,0
Arunachal Pradesh,2005,Kidnap - For Adoption,01. For Adoption,2,2,0,0,0,2,0,2,0,0,0,0,0,0
Assam,2005,Kidnap - For Adoption,01. For Adoption,2,2,0,0,0,2,0,2,0,0,0,0,0,0
Bihar,2005,Kidnap - For Adoption,01. For Adoption,26,0,0,3,0,3,0,26,0,17,6,0,23,0
Chandigarh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2005,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,1,1,2,0,0,0,0,1,1
Gujarat,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2005,Kidnap - For Adoption,01. For Adoption,17,10,1,0,0,11,0,18,3,3,0,0,7,1
Himachal Pradesh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2005,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,1,0,0,1,0
Karnataka,2005,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Madhya Pradesh,2005,Kidnap - For Adoption,01. For Adoption,6,6,0,0,0,6,0,6,0,0,0,0,0,0
Maharashtra,2005,Kidnap - For Adoption,01. For Adoption,12,7,0,0,0,8,1,12,0,1,0,0,4,3
Manipur,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2005,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,0,0,3,0,3,0,0,3,0
Nagaland,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2005,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,2,0,0,0,0,2,2
Tamil Nadu,2005,Kidnap - For Adoption,01. For Adoption,33,0,24,0,0,24,0,33,0,0,9,0,9,0
Tripura,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2006,Kidnap - For Adoption,01. For Adoption,50,0,0,0,0,0,0,50,0,50,0,0,50,0
Chhattisgarh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2006,Kidnap - For Adoption,01. For Adoption,4,2,0,0,0,3,1,4,0,0,0,0,1,1
Gujarat,2006,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,2,0,0,0,0,2,2
Himachal Pradesh,2006,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Jammu & Kashmir,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2006,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,2,0,2,0,0,2,0
Karnataka,2006,Kidnap - For Adoption,01. For Adoption,11,0,0,0,0,0,0,11,0,6,5,0,11,0
Kerala,2006,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,1,1,3,0,0,0,0,2,2
Madhya Pradesh,2006,Kidnap - For Adoption,01. For Adoption,4,3,0,0,0,3,0,4,1,0,0,0,1,0
Maharashtra,2006,Kidnap - For Adoption,01. For Adoption,13,1,0,1,0,3,1,13,3,3,2,1,10,1
Manipur,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2006,Kidnap - For Adoption,01. For Adoption,4,1,3,0,0,4,0,4,0,0,0,0,0,0
Punjab,2006,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Tamil Nadu,2006,Kidnap - For Adoption,01. For Adoption,12,0,10,0,0,10,0,12,0,1,0,0,2,1
Tripura,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2007,Kidnap - For Adoption,01. For Adoption,5,0,2,0,0,2,0,5,1,1,0,0,3,1
Arunachal Pradesh,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2007,Kidnap - For Adoption,01. For Adoption,62,0,0,0,0,0,0,62,15,38,3,0,62,6
Chhattisgarh,2007,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,1,0,1,0
Gujarat,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2007,Kidnap - For Adoption,01. For Adoption,2,1,0,0,0,2,1,2,0,0,0,0,0,0
Himachal Pradesh,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Kidnap - For Adoption,01. For Adoption,2,1,1,0,0,2,0,2,0,0,0,0,0,0
Karnataka,2007,Kidnap - For Adoption,01. For Adoption,2,0,2,0,0,2,0,2,0,0,0,0,0,0
Kerala,2007,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Madhya Pradesh,2007,Kidnap - For Adoption,01. For Adoption,8,6,2,0,0,8,0,8,0,0,0,0,0,0
Maharashtra,2007,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Manipur,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2007,Kidnap - For Adoption,01. For Adoption,40,2,33,2,0,37,0,40,0,3,0,0,3,0
Puducherry,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2007,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,1,0,0,1,0
Tamil Nadu,2007,Kidnap - For Adoption,01. For Adoption,6,0,3,3,0,6,0,6,0,0,0,0,0,0
West Bengal,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2008,Kidnap - For Adoption,01. For Adoption,72,0,0,0,0,0,0,72,12,36,22,0,72,2
Chhattisgarh,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2008,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,2,0,1,1,0,2,0
Haryana,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Kidnap - For Adoption,01. For Adoption,5,0,2,0,0,3,1,5,0,1,0,0,2,1
Jharkhand,2008,Kidnap - For Adoption,01. For Adoption,7,0,0,0,0,0,0,7,6,0,0,0,7,1
Karnataka,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2008,Kidnap - For Adoption,01. For Adoption,10,7,0,0,0,7,0,10,0,0,0,2,3,1
Maharashtra,2008,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,2,0,0,0,0,2,2
Manipur,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2008,Kidnap - For Adoption,01. For Adoption,13,0,7,1,0,8,0,13,0,0,5,0,5,0
Puducherry,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2008,Kidnap - For Adoption,01. For Adoption,28,0,24,1,0,25,0,28,0,3,0,0,3,0
Sikkim,2008,Kidnap - For Adoption,01. For Adoption,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Tamil Nadu,2008,Kidnap - For Adoption,01. For Adoption,4,0,3,0,0,4,1,4,0,0,0,0,0,0
West Bengal,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2009,Kidnap - For Adoption,01. For Adoption,11,0,0,0,0,0,0,11,9,2,0,0,11,0
Chandigarh,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2009,Kidnap - For Adoption,01. For Adoption,2,2,0,0,0,2,0,2,0,0,0,0,0,0
Dadra & Nagar Haveli,2009,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Delhi,2009,Kidnap - For Adoption,01. For Adoption,5,0,0,0,0,1,1,5,2,0,0,0,4,2
Gujarat,2009,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,2,0,1,0,0,2,1
Haryana,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Kidnap - For Adoption,01. For Adoption,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Karnataka,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2009,Kidnap - For Adoption,01. For Adoption,23,20,0,0,0,20,0,23,2,0,0,0,3,1
Maharashtra,2009,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,3,0,2,1,0,3,0
Manipur,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2009,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Tamil Nadu,2009,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,1,1,1,0,0,0,0,0,0
West Bengal,2009,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,0,0,3,0,0,2,0,3,1
Arunachal Pradesh,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2010,Kidnap - For Adoption,01. For Adoption,6,0,0,0,0,0,0,6,2,1,2,0,6,1
Chhattisgarh,2010,Kidnap - For Adoption,01. For Adoption,3,3,0,0,0,3,0,3,0,0,0,0,0,0
Delhi,2010,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Goa,2010,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Gujarat,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2010,Kidnap - For Adoption,01. For Adoption,2,0,0,0,0,0,0,2,0,0,0,0,2,2
Himachal Pradesh,2010,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Jammu & Kashmir,2010,Kidnap - For Adoption,01. For Adoption,3,0,3,0,0,3,0,3,0,0,0,0,0,0
Jharkhand,2010,Kidnap - For Adoption,01. For Adoption,12,3,6,0,0,9,0,12,0,3,0,0,3,0
Karnataka,2010,Kidnap - For Adoption,01. For Adoption,1,0,0,0,0,1,1,1,0,0,0,0,0,0
Kerala,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Kidnap - For Adoption,01. For Adoption,23,7,16,0,0,23,0,23,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Adoption,01. For Adoption,22,4,1,0,0,6,1,22,4,4,7,0,16,1
Odisha,2010,Kidnap - For Adoption,01. For Adoption,45,0,42,3,0,45,0,45,0,0,0,0,0,0
Punjab,2010,Kidnap - For Adoption,01. For Adoption,3,0,0,0,0,1,1,3,0,0,0,0,2,2
Tamil Nadu,2010,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0
